"","iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","undergra","mn_sat","tuition","race","imprace","imprelig","zipcode","goal","date","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","you_call","them_cal","date_3","numdat_3","num_in_3","attr3_s","sinc3_s","fun3_s","intel3_s","amb3_s"
"12",2,2,0,3,1,1,10,3,NA,9,2,12,0,0.18,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,8,5,6,6,9,6,7,3,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"13",2,2,0,3,1,1,10,3,NA,6,3,13,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,8,9,6,3,4,6,7,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"14",2,2,0,3,1,1,10,3,NA,1,4,14,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,9,7,6,5,7,7,8,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"15",2,2,0,3,1,1,10,3,NA,3,5,15,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,6,8,7,9,7,8,8,6,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"16",2,2,0,3,1,1,10,3,NA,2,6,16,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,8,7,8,3,6,2,6,5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"17",2,2,0,3,1,1,10,3,NA,7,7,17,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,5,9,6,7,9,8,7,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"18",2,2,0,3,1,1,10,3,NA,8,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,8,7,5,9,5,5,6,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"19",2,2,0,3,1,1,10,3,NA,4,9,19,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,6,8,9,4,5,5,6,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"20",2,2,0,3,1,1,10,3,NA,5,10,20,0,0.39,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,1,"","","",2,2,5,"35,223",1,5,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,47.3684210526316,5.26315789473684,26.3157894736842,21.0526315789474,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,6,7,8,7,9,8,8,7,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"21",3,3,0,5,1,1,10,9,NA,6,1,11,0,-0.24,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,7,9,10,7,8,9,8,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3,3,0,5,1,1,10,9,NA,5,2,12,0,-0.14,1,22,2,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,7,9,8,9,7,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",3,3,0,5,1,1,10,9,NA,2,3,13,0,0.09,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,7,9,9,7,9,7,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",3,3,0,5,1,1,10,9,NA,7,4,14,0,-0.04,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,7,9,7,9,7,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",3,3,0,5,1,1,10,9,NA,9,5,15,0,-0.14,0,24,3,30,10,20,10,10,20,1,6,10,8,6,NA,NA,6,1,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,10,10,10,10,10,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",3,3,0,5,1,1,10,9,NA,8,6,16,0,-0.3,1,25,2,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,8,10,10,7,9,9,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",3,3,0,5,1,1,10,9,NA,3,7,17,0,-0.26,1,30,2,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,8,9,10,7,7,9,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",3,3,0,5,1,1,10,9,NA,4,8,18,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,7,9,9,8,9,7,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",3,3,0,5,1,1,10,9,NA,10,9,19,0,-0.15,1,28,2,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,9,9,9,9,9,9,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",3,3,0,5,1,1,10,9,NA,1,10,20,0,-0.47,1,24,2,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,2,"","","",2,8,4,"6,268",6,3,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,8,7,9,7,9,7,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",4,4,0,7,1,1,10,6,NA,3,1,11,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,4,10,8,5,8,7,6,7,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"32",4,4,0,7,1,1,10,6,NA,2,2,12,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,8,7,8,10,7,8,8,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"33",4,4,0,7,1,1,10,6,NA,9,3,13,0,0.05,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,NA,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,4,7,8,8,6,7,4,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"34",4,4,0,7,1,1,10,6,NA,4,4,14,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,1,8,10,7,10,7,10,8,10,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"35",4,4,0,7,1,1,10,6,NA,6,5,15,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,6,9,8,9,8,9,7,7,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"36",4,4,0,7,1,1,10,6,NA,5,6,16,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,5,10,8,4,8,2,4,3,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"37",4,4,0,7,1,1,10,6,NA,10,7,17,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,7,10,10,7,10,5,5,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"38",4,4,0,7,1,1,10,6,NA,1,8,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,5,9,9,5,9,7,6,6,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"39",4,4,0,7,1,1,10,6,NA,7,9,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,1,9,8,10,10,7,8,8,8,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"40",4,4,0,7,1,1,10,6,NA,8,10,20,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,1,"","","",2,1,1,"77,096",1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,1,8,9,10,10,8,8,10,8,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"41",5,5,0,9,1,1,10,4,NA,1,1,11,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,5,8,8,2,2,2,7,5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"42",5,5,0,9,1,1,10,4,NA,10,2,12,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,8,6,6,5,5,5,6,4,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"43",5,5,0,9,1,1,10,4,NA,7,3,13,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,4,6,8,8,6,5,6,5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"44",5,5,0,9,1,1,10,4,NA,2,4,14,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,8,5,5,7,7,9,8,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"45",5,5,0,9,1,1,10,4,NA,4,5,15,0,-0.16,0,24,3,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,6,7,7,5,4,8,7,4,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"46",5,5,0,9,1,1,10,4,NA,3,6,16,0,0.06,1,25,2,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,5,6,7,5,7,8,7,3,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"47",5,5,0,9,1,1,10,4,NA,8,7,17,0,-0.05,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21,1,"","","",2,8,1,"94,022",2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,23.5294117647059,5.88235294117647,29.4117647058824,29.4117647058824,11.7647058823529,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,6,6,8,5,5,6,6,3,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
